"year","region","life_expectancy_log_zscore","mortality_log_zscore","gdp_log_zscore","schooling_log_zscore"
2020,"Europe","1.2239107653222172","-2.7949143634986675","0.5325177557642834","1.566089279083415"
2019,"Europe","1.2320557082977812","-2.7949143634986675","1.7168419876857","1.515013748777204"
2018,"Europe","1.199415873087199","-0.6741499720668904","-1.936934208804372","1.4978062091552458"
2017,"Europe","1.1748319359576156","-0.6390232281827081","1.6839640314045303","1.4631118328767732"
2016,"Europe","1.1583918767322363","-0.6051977780622526","0.4957970748623711","1.4631118328767732"
2015,"Europe","1.1419121022726197","-0.5566988020398904","1.8370140529006531","1.4280386104378457"
2014,"Europe","1.13365702497826","-0.541088460474884","1.9470276980433212","1.4280386104378457"
2013,"Europe","1.1171157337600013","-0.5106462167342573","0.6179286356869781","1.4103570315604395"
2012,"Europe","1.1088301006478576","-0.49579738966299847","1.8434339876640122","1.3746989030449817"
2011,"Europe","1.6654710651607636","-0.452646870605423","1.7469556296479207","1.4456229686179498"
2010,"Europe","1.5887204332658158","-0.452646870605423","0.4303095854281329","1.3204579812023496"
2009,"Europe","1.3530609134826672","-2.487653723125276","1.5434073436956872","1.246680406903401"
2008,"Europe","1.025405335973821","-0.35924759049551086","1.4834792406377737","1.2279678265261298"
2007,"Europe","1.000174214356823","-0.33422732005907835","1.5403571261411615","1.1711663687288467"
2022,"Europe","1.1419121022726197","-0.4668050262123955","0.7091054150563848","1.4978062091552458"
2021,"Europe","1.1253911567562904","-0.43870487850855305","0.6121188767476503","1.4978062091552458"
2020,"Europe","1.1088301006478576","-0.42497254839037213","0.5807591340457703","1.4978062091552458"
2019,"Europe","1.4325364823978888","-0.39811229598110914","1.7725572496005997","1.4805059057154462"
2018,"Europe","1.3530609134826672","-2.487653723125276","1.8074334205852367","1.4805059057154462"
2017,"Europe","1.5110824911767629","-0.4114436676980443","1.765029447284085","1.4280386104378457"
2016,"Europe","1.000174214356823","-0.29793713768886115","1.8014926129066602","1.3746989030449817"
2015,"Europe","1.0085955534948112","-0.32196964951717966","1.8885888010453535","1.3746989030449817"
2014,"Europe","0.983301077714047","-0.32196964951717966","1.889915829372125","1.3204579812023496"
